Zip,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,Coastal/Inland,Pair
77505.0,169500.0,168000.0,166000.0,164700.0,164900.0,163250.0,165900.0,177000.0,179900.0,183450.0,182000.0,179900.0,179900.0,172500.0,171200.0,173450.0,172900.0,174900.0,169700.0,169000.0,173950.0,174425.0,159900.0,159900.0,162000.0,160950.0,162000.0,167000.0,169250.0,168000.0,162250.0,164500.0,162450.0,159900.0,155900.0,152400.0,154900.0,154900.0,166950.0,166200.0,167500.0,169900.0,174900.0,172200.0,175000.0,177000.0,179900.0,179900.0,179900.0,180220.0,180220.0,184900.0,200000.0,199500.0,193500.0,189500.0,191250.0,199900.0,197900.0,199900.0,201000.0,213700.0,211200.0,214900.0,214900.0,212250.0,219900.0,222900.0,209900.0,222200.0,200000.0,192000.0,199900.0,199900.0,224000.0,216950.0,224000.0,224990.0,229999.0,234900.0,229999.0,232500.0,235000.0,239000.0,235000.0,235000.0,249299.5,237450.0,237950.0,239900.0,239947.5,239990.0,244900.0,1,7
77504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000.0,199450.0,193450.0,184900.0,187450.0,192000.0,178950.0,186250.0,197500.0,189950.0,178000.0,186000.0,174450.0,174950.0,199000.0,189900.0,189900.0,194949.5,199950.0,0,7
19947.0,235000.0,235000.0,229000.0,237450.0,235000.0,230000.0,225950.0,220949.5,209950.0,199500.0,199000.0,207250.0,195000.0,184900.0,198500.0,220000.0,219900.0,199000.0,199000.0,199000.0,199900.0,199900.0,199900.0,193000.0,188000.0,189900.0,190400.0,189900.0,194500.0,191900.0,189450.0,194500.0,197900.0,189900.0,188900.0,189200.0,199900.0,207400.0,203950.0,204000.0,208900.0,199000.0,199500.0,203900.0,207900.0,203900.0,209550.0,209900.0,210225.0,218000.0,219900.0,221900.0,219900.0,221900.0,224900.0,228500.0,227617.5,229167.5,223575.0,229900.0,229900.0,232400.0,235200.0,233100.0,242400.0,243500.0,234900.0,239300.0,231217.0,232750.0,232400.0,239000.0,238000.0,239400.0,234950.0,234950.0,234950.0,229900.0,237900.0,229900.0,238200.0,239900.0,245000.0,247000.0,242800.0,245000.0,248999.0,253900.0,259900.0,260000.0,263950.0,262900.0,260000.0,0,8
19968.0,295000.0,282450.0,259900.0,259000.0,289900.0,287000.0,287000.0,279900.0,269900.0,269900.0,269000.0,269900.0,259945.0,259900.0,259990.0,268450.0,279900.0,279450.0,269900.0,269900.0,261990.0,259900.0,248500.0,249900.0,249000.0,246950.0,249990.0,250990.0,253990.0,252990.0,249900.0,249000.0,249900.0,246900.0,249800.0,249990.0,254900.0,258900.0,261990.0,254945.0,269900.0,275000.0,277445.0,285900.0,280445.0,279900.0,279000.0,272990.0,275000.0,274400.0,278445.0,285000.0,288624.0,289900.0,289900.0,292592.0,280450.0,282990.0,285000.0,284900.0,279900.0,275400.0,279900.0,284445.0,288445.0,292150.0,296150.0,299900.0,289995.0,291990.0,294945.0,290000.0,288990.0,289000.0,294990.0,299000.0,299000.0,299990.0,300000.0,312990.0,314900.0,314900.0,315900.0,315271.0,309000.0,306995.0,302500.0,306990.0,314862.5,315445.0,319990.0,319900.0,319990.0,1,8
19963.0,186841.0,179250.0,182500.0,189950.0,190000.0,179900.0,199900.0,199900.0,202205.0,198750.0,199900.0,199900.0,199900.0,199000.0,199000.0,199000.0,199900.0,200441.0,199900.0,199900.0,202450.0,199450.0,198750.0,190000.0,185000.0,179000.0,175000.0,184900.0,189500.0,189500.0,186200.0,189900.0,195000.0,195000.0,199945.0,189900.0,219000.0,210950.0,220000.0,218000.0,224900.0,214900.0,214900.0,214900.0,224900.0,224900.0,215000.0,218495.0,219995.0,214900.0,209900.0,210000.0,212000.0,214950.0,214945.0,209950.0,215000.0,214445.0,214990.0,219450.0,213900.0,215000.0,219450.0,224950.0,238000.0,236900.0,239900.0,240000.0,237000.0,236950.0,239900.0,239900.0,228450.0,226945.0,225000.0,234990.0,231995.0,224950.0,219990.0,219450.0,226990.0,210000.0,208000.0,205683.0,200000.0,200000.0,219990.0,226990.0,229700.0,239900.0,225990.0,229950.0,235000.0,1,9
19960.0,,,,,,,,,,,,,,,196500.0,186700.0,186250.0,179900.0,188500.0,189450.0,189900.0,189450.0,189900.0,190000.0,189900.0,199000.0,199900.0,189900.0,199000.0,198950.0,204486.0,202700.0,201900.0,199900.0,201900.0,203900.0,207000.0,213810.0,210900.0,222900.0,222900.0,224900.0,218900.0,221400.0,225000.0,223000.0,219900.0,220900.0,221900.0,216900.0,217900.0,219900.0,223900.0,223900.0,224900.0,224950.0,227900.0,226900.0,226400.0,227900.0,230150.0,233150.0,222900.0,213250.0,232900.0,236900.0,236900.0,233900.0,230450.0,232900.0,235400.0,236900.0,234900.0,225900.0,230900.0,234400.0,235950.0,236900.0,235950.0,235000.0,234500.0,231950.0,235000.0,235950.0,235000.0,236900.0,239900.0,259900.0,249500.0,246900.0,244900.0,246900.0,246100.0,0,9
19904.0,209900.0,204950.0,199900.0,199500.0,184900.0,179525.0,179900.0,179725.0,184950.0,183500.0,189900.0,180000.0,179900.0,188250.0,178900.0,165000.0,179900.0,173950.0,168000.0,165000.0,165000.0,174900.0,164900.0,149492.5,139950.0,159900.0,162250.0,164990.0,166875.0,162400.0,157450.0,153945.0,160000.0,168200.0,175450.0,175450.0,179900.0,179900.0,184950.0,184900.0,187450.0,187900.0,185000.0,185900.0,189900.0,188100.0,189747.5,198200.0,193000.0,198750.0,189947.5,191447.5,189900.0,187450.0,187450.0,195000.0,198450.0,185000.0,182500.0,184950.0,179900.0,189900.0,203100.0,205000.0,189900.0,192000.0,189450.0,185000.0,198000.0,199900.0,194950.0,195000.0,200000.0,210000.0,209900.0,215000.0,215000.0,204900.0,209900.0,210990.0,223745.0,212900.0,212900.0,215000.0,206250.0,224999.5,224949.5,215000.0,214900.0,211900.0,215000.0,220000.0,205000.0,0,10
19901.0,190000.0,190000.0,187500.0,185700.0,184900.0,179900.0,179000.0,179900.0,179900.0,174950.0,169900.0,169900.0,169900.0,179000.0,170000.0,168000.0,169900.0,169900.0,168000.0,175000.0,178250.0,177450.0,168500.0,178950.0,169990.0,179900.0,179900.0,184900.0,189900.0,184900.0,184900.0,189900.0,189990.0,185000.0,189900.0,189900.0,189900.0,189900.0,189990.0,185000.0,197450.0,189990.0,189990.0,189900.0,199900.0,199990.0,195000.0,199000.0,195000.0,198900.0,199990.0,196900.0,199900.0,195000.0,187900.0,193000.0,190000.0,188400.0,185000.0,189000.0,193450.0,197450.0,191000.0,193750.0,189950.0,204900.0,220000.0,204900.0,209900.0,208450.0,195900.0,197500.0,199500.0,194900.0,197400.0,200990.0,209900.0,215000.0,210990.0,210990.0,210000.0,207400.0,205450.0,199990.0,178000.0,189000.0,199945.0,206045.5,210990.0,212990.0,214450.0,217990.0,215990.0,1,10
19720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900.0,149900.0,149900.0,149900.0,149900.0,155000.0,150000.0,159250.0,159000.0,154950.0,149900.0,150000.0,149000.0,149995.0,152000.0,158000.0,159900.0,159900.0,159950.0,165050.0,170000.0,172500.0,164000.0,150000.0,159900.0,163250.0,165000.0,168500.0,177450.0,178700.0,179900.0,175700.0,184900.0,179900.0,178650.0,179000.0,179900.0,179900.0,179900.0,169950.0,171500.0,170000.0,169900.0,165000.0,169900.0,163700.0,159900.0,159450.0,159900.0,165000.0,164900.0,167450.0,169900.0,175000.0,165000.0,160000.0,169900.0,1,11
19702.0,200000.0,199900.0,205000.0,204900.0,190000.0,197000.0,189900.0,190950.0,191900.0,198500.0,194950.0,191900.0,189950.0,189900.0,189900.0,199000.0,197000.0,179900.0,165000.0,159000.0,155000.0,143500.0,139900.0,138450.0,154950.0,168500.0,179900.0,187500.0,185000.0,179949.5,183900.0,199000.0,184400.0,179900.0,184900.0,189900.0,195000.0,210000.0,210000.0,215000.0,220000.0,222000.0,222000.0,214900.0,223450.0,224900.0,217500.0,227950.0,225500.0,233586.0,215250.0,225000.0,225000.0,234450.0,234950.0,227000.0,223500.0,219945.0,215250.0,219990.0,225000.0,224950.0,229900.0,228990.0,229025.0,243155.0,249900.0,239990.0,239900.0,229900.0,247495.0,229900.0,232400.0,225000.0,209950.0,214900.0,216000.0,210000.0,199900.0,195000.0,199000.0,199900.0,199450.0,198250.0,192400.0,185000.0,198000.0,198500.0,199900.0,199900.0,194900.0,196000.0,209900.0,0,11
