Zip,Coastal/Inland,Pair,Date,Price,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
70122.0,1,11,2016-03,199950.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
70119.0,0,11,2016-03,339000.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
70126.0,1,12,2016-03,105450.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
77062.0,0,13,2016-03,215000.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
77058.0,1,13,2016-03,,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
77015.0,1,14,2016-03,125000.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
10305.0,1,16,2016-03,449000.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
10304.0,0,16,2016-03,539900.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
10314.0,1,17,2016-03,436950.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
11204.0,0,18,2016-03,712000.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
11214.0,1,18,2016-03,625000.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
11209.0,1,19,2016-03,575000.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
10023.0,0,20,2016-03,,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
10069.0,1,20,2016-03,,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
10003.0,0,21,2016-03,,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
10010.0,1,21,2016-03,2600000.0,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
94014.0,0,1,2016-04,699000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
94015.0,1,1,2016-04,774888.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
93940.0,0,2,2016-04,849000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
93950.0,1,2,2016-04,910000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
93109.0,1,3,2016-04,1365000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
93108.0,0,3,2016-04,4100000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
77505.0,1,4,2016-04,216950.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
77504.0,0,4,2016-04,199450.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
33137.0,1,5,2016-04,615000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
33127.0,0,5,2016-04,249000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
33129.0,1,6,2016-04,559000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
33145.0,0,6,2016-04,399450.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
33131.0,1,7,2016-04,480000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
33130.0,0,7,2016-04,423700.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
33308.0,1,8,2016-04,424950.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
33060.0,0,9,2016-04,249000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
33062.0,1,9,2016-04,379000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
70124.0,1,10,2016-04,479000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
70118.0,0,10,2016-04,,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
70122.0,1,11,2016-04,203050.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
70119.0,0,11,2016-04,340500.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
70126.0,1,12,2016-04,110000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
77062.0,0,13,2016-04,217000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
77058.0,1,13,2016-04,,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
77015.0,1,14,2016-04,119990.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
10305.0,1,16,2016-04,454500.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
10304.0,0,16,2016-04,524500.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
10314.0,1,17,2016-04,429900.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
11204.0,0,18,2016-04,725000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
11214.0,1,18,2016-04,649000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
11209.0,1,19,2016-04,575000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
10023.0,0,20,2016-04,,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
10069.0,1,20,2016-04,2574500.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
10003.0,0,21,2016-04,2050000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
10010.0,1,21,2016-04,2400000.0,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
94014.0,0,1,2016-05,699000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
94015.0,1,1,2016-05,776332.5,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
93940.0,0,2,2016-05,854950.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
93950.0,1,2,2016-05,950000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
93109.0,1,3,2016-05,1349000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
93108.0,0,3,2016-05,3867500.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
77505.0,1,4,2016-05,224000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
77504.0,0,4,2016-05,193450.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
33137.0,1,5,2016-05,595000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
33127.0,0,5,2016-05,274950.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
33129.0,1,6,2016-05,549000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
33145.0,0,6,2016-05,390000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
33131.0,1,7,2016-05,476500.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
33130.0,0,7,2016-05,414950.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
33308.0,1,8,2016-05,429000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
33060.0,0,9,2016-05,245000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
33062.0,1,9,2016-05,379900.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
70124.0,1,10,2016-05,495000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
70118.0,0,10,2016-05,,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
70122.0,1,11,2016-05,209500.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
70119.0,0,11,2016-05,329000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
70126.0,1,12,2016-05,115350.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
77062.0,0,13,2016-05,219500.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
77058.0,1,13,2016-05,,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
77015.0,1,14,2016-05,119500.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
10305.0,1,16,2016-05,449450.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
10304.0,0,16,2016-05,539900.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
10314.0,1,17,2016-05,449000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
11204.0,0,18,2016-05,779500.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
11214.0,1,18,2016-05,626500.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
11209.0,1,19,2016-05,587000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
10023.0,0,20,2016-05,,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
10069.0,1,20,2016-05,2225000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
10003.0,0,21,2016-05,2000000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
10010.0,1,21,2016-05,2295000.0,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
94014.0,0,1,2016-06,708944.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
94015.0,1,1,2016-06,750000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
93940.0,0,2,2016-06,846125.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
93950.0,1,2,2016-06,910000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
93109.0,1,3,2016-06,1397000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
93108.0,0,3,2016-06,3767500.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
77505.0,1,4,2016-06,224990.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
77504.0,0,4,2016-06,184900.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
33137.0,1,5,2016-06,590000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
33127.0,0,5,2016-06,249900.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
33129.0,1,6,2016-06,531999.5,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
33145.0,0,6,2016-06,387450.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
33131.0,1,7,2016-06,479000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
33130.0,0,7,2016-06,415000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
33308.0,1,8,2016-06,429000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
33060.0,0,9,2016-06,243000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
33062.0,1,9,2016-06,395000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
70124.0,1,10,2016-06,477000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
70118.0,0,10,2016-06,,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
70122.0,1,11,2016-06,209000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
70119.0,0,11,2016-06,345000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
70126.0,1,12,2016-06,110000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
77062.0,0,13,2016-06,229900.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
77058.0,1,13,2016-06,,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
77015.0,1,14,2016-06,125900.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
10305.0,1,16,2016-06,459450.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
10304.0,0,16,2016-06,509900.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
10314.0,1,17,2016-06,450000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
11204.0,0,18,2016-06,749000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
11214.0,1,18,2016-06,618000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
11209.0,1,19,2016-06,538200.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
10023.0,0,20,2016-06,2400000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
10069.0,1,20,2016-06,2187000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
10003.0,0,21,2016-06,2000000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
